"","X","LRR","var.LRR","col","scale","pr.st","Source","System"
"156",1.19891001,-6.965352771,9.98e+16,"darkblue",2,-0.116419861845151,"Parkovacs & Post (2009)","F"
"158",3.184974273,0.20713199,0.022930659,"darkblue",1.00057613309193,0.0161480863601235,"Parkyn et al. (1997)","F"
"159",3.834061464,-0.007447957,0.038081196,"darkblue",1.00095174927724,0.0594740545678273,"Parkyn et al. (1997)","F"
"160",5.061106382,-0.295197982,0.006023145,"darkblue",1.00015033217925,0.141378165207861,"Quijon & Snelgrove (2005)","M"
"161",3.566472646,-0.280867623,0.023284962,"darkblue",1.00058498042498,0.0416127490573246,"Sanders et al. (2008)","T"
"162",2.165226184,-0.570771122,0.009271097,"darkblue",1.0002326815818,-0.0519191531363355,"Sanders et al. (2008)","T"
"163",-0.282908797,-1.237922918,0.087924525,"darkblue",1.00214989913098,-0.215329893366108,"Schoener & Spiller (1996)","T"
"164",-0.282908797,-1.701497021,0.627103255,"darkblue",1.01243377134752,-0.215329893366108,"Schoener & Spiller (1996)","T"
"165",0.41111578,-2.705011924,0.097571023,"darkblue",1.00237543286545,-0.169004396305934,"Schoener et al. (2002)","T"
"166",1.068359245,-1.489042244,0.080299132,"darkblue",1.00197019879807,-0.125134004370698,"Schoener et al. (2002)","T"
"167",1.414031116,-2.090429592,0.086503263,"darkblue",1.00211650130825,-0.102060727465988,"Schoener et al. (2002)","T"
"168",0.837247525,-1.317923015,0.053027889,"darkblue",1.00131697786168,-0.140560497408901,"Schoener et al. (2002)","T"
"169",0.786273159,-1.938547458,0.049339374,"darkblue",1.00122733156518,-0.143962989079274,"Schoener et al. (2002)","T"
"170",0.223863292,-1.937314302,0.109289512,"darkblue",1.00264675782605,-0.181503326271572,"Schoener et al. (2002)","T"
"171",-0.282908797,-0.932688878,0.27984598,"darkblue",1.00630065020163,-0.215329893366108,"Spiller & Schoener (1998)","T"
"172",-4.432898965,0.097137825,0.043904492,"darkblue",1.00109466539065,-0.492337889478377,"Wiens et al. (1991)","T"
"173",-4.432898965,0.330425893,0.042906158,"darkblue",1.00107022085516,-0.492337889478377,"Wiens et al. (1991)","T"
"174",-4.432898965,0.098874459,0.038156423,"darkblue",1.00095360061485,-0.492337889478377,"Wiens et al. (1991)","T"
"175",-4.432898965,-0.146326626,0.063374903,"darkblue",1.00156678745333,-0.492337889478377,"Wiens et al. (1991)","T"
"176",-4.432898965,-0.107440189,0.039740398,"darkblue",1.00099255114442,-0.492337889478377,"Wiens et al. (1991)","T"
"177",2.772588722,-0.262403393,0.025268704,"darkblue",1.00063446010892,-0.0113782668319894,"Atwood et al 2014","F"
"178",1.786028795,-0.334064815,0.067639795,"darkblue",1.00166904870662,-0.0772302272848597,"Eklöv van Kooten 2001","F"
"179",-1.256530055,-0.062516619,0.000508705,"darkblue",1.00000990686976,-0.280318209659123,"Fairchild Holomuzki 2005","F"
