"","X","LRR","var.LRR","scale","col","row","Citation","pr.st"
"299",2.066862759,-0.324339563,0.018415112,1.40647471196725,"darkgreen",299,"Ogle et al. 2003",0.0711411459837668
"300",2.493205453,-0.214147988,0.022515931,1.39656804723992,"darkgreen",300,"Ogle et al. 2003",0.144979186404761
"301",0.003992021,0.171014486,0.032515479,1.37846009009842,"darkgreen",301,"Ogle et al. 2003",-0.286126223855881
"302",0.067658648,0.112477983,0.016913308,1.41066651680507,"darkgreen",302,"Ogle et al. 2003",-0.27509983817119
"303",2.014903021,-0.306550557,0.017694859,1.40844063153719,"darkgreen",303,"Ogle et al. 2003",0.0621422695195948
"304",1.945910149,-0.081262964,0.035786138,1.37373742916363,"darkgreen",304,"Ogle et al. 2003",0.050193434595977
"305",0,0.280809193,0.032390402,1.37864999848756,"darkgreen",305,"Ogle et al. 2003",-0.28681759962497
"306",0,-0.558669266,0.125253431,1.31200768050827,"darkgreen",306,"Ogle et al. 2003",-0.28681759962497
"307",2.066862759,-0.413641769,0.03586569,1.37362801483197,"darkgreen",307,"Ogle et al. 2003",0.0711411459837668
"308",2.493205453,0.563431924,0.066007686,1.34357119908182,"darkgreen",308,"Ogle et al. 2003",0.144979186404761
"309",0.003992021,0.090775025,0.075053516,1.33724289378491,"darkgreen",309,"Ogle et al. 2003",-0.286126223855881
"310",0.067658648,0.016807118,0.024858553,1.39169094021722,"darkgreen",310,"Ogle et al. 2003",-0.27509983817119
"311",2.014903021,0.163789309,0.0935938,1.32636497083986,"darkgreen",311,"Ogle et al. 2003",0.0621422695195948
"312",1.945910149,-0.19248981,0.088128577,1.32932967028581,"darkgreen",312,"Ogle et al. 2003",0.050193434595977
"313",0,0.184843626,0.065219869,1.34416283663724,"darkgreen",313,"Ogle et al. 2003",-0.28681759962497
"314",0,0.663368305,0.020177753,1.40197059867924,"darkgreen",314,"Ogle et al. 2003",-0.28681759962497
"315",2.066862759,0.510825624,0.044837018,1.36262738769527,"darkgreen",315,"Ogle et al. 2003",0.0711411459837668
"316",2.493205453,-0.066489741,0.020467903,1.40126709557137,"darkgreen",316,"Ogle et al. 2003",0.144979186404761
"317",0.003992021,0.614602152,0.036578517,1.37265829852126,"darkgreen",317,"Ogle et al. 2003",-0.286126223855881
"318",0.067658648,-0.298044859,0.027175274,1.38730032487473,"darkgreen",318,"Ogle et al. 2003",-0.27509983817119
"319",2.014903021,-0.670674325,0.043966956,1.36359295355713,"darkgreen",319,"Ogle et al. 2003",0.0621422695195948
"320",1.945910149,0.14689112,0.015432666,1.41518074644301,"darkgreen",320,"Ogle et al. 2003",0.050193434595977
"321",0,0.85763387,0.138197162,1.30716193815876,"darkgreen",321,"Ogle et al. 2003",-0.28681759962497
"322",0,-0.630626824,0.06100326,1.34745617402875,"darkgreen",322,"Ogle et al. 2003",-0.28681759962497
"353",0.58806075,-0.027897504,2.47229e-06,1.84579337574384,"darkgreen",353,"Zhou et al. 2008",-0.184971704199587
"354",0.58806075,0.115157219,0.003164799,1.49325074832482,"darkgreen",354,"Zhou et al. 2008",-0.184971704199587
"355",0.58806075,1.658228077,70.43178382,1,"darkgreen",355,"Zhou et al. 2008",-0.184971704199587
"356",0.58806075,-0.442736503,0.013161552,1.42302454914812,"darkgreen",356,"Zhou et al. 2008",-0.184971704199587
"357",0.58806075,0.350656872,0.000159566,1.64045207531436,"darkgreen",357,"Zhou et al. 2008",-0.184971704199587
"358",0.58806075,-0.730326184,0.008866226,1.44249038082068,"darkgreen",358,"Zhou et al. 2008",-0.184971704199587
"359",0.58806075,-0.204462683,0.008637505,1.44377818650033,"darkgreen",359,"Zhou et al. 2008",-0.184971704199587
