"","X","LRR","var.LRR","col","scale","pr.st","ref"
"52",0.49,0.214517497,0.194753212,"darkblue",1.39338500874972,-0.0100011933223848,86
"53",1,0.167557239,0.005106123,"darkblue",1.82125468432117,0.500059666119242,42
"54",0.566354194,0.158061625,0.252146841,"darkblue",1.36303603094289,0.0663621121945028,50
"55",0.796812749,0.155564108,0.03979633,"darkblue",1.57997788190543,0.296848168329749,28
"56",0.063881436,0.140405577,0.039405093,"darkblue",1.58113878607944,-0.436170607004487,95
"57",0.210591133,0.137563219,0.304859145,"darkblue",1.3407291122053,-0.289443402807936,115
"58",0.071969697,0.115512887,0.04203115,"darkblue",1.57355784841041,-0.428081380814196,85
"59",0.89,0.100168489,0.003955316,"darkblue",1.85126307050548,0.390046539573009,66
"60",0.936088419,0.085522173,0.175059798,"darkblue",1.40591168234848,0.436140458407216,105
"61",0.92,0.075423762,0.123894214,"darkblue",1.44653306464962,0.420050119540163,16
"62",0.5,0.030391801,0.00111546,"darkblue",2,0,27
"63",0.5,0.021270807,0.001491087,"darkblue",1.96589555846365,0,27
"64",0.5,0.018632988,0.002527724,"darkblue",1.90387484761796,0,27
"65",0.5,0.028463944,0.002876547,"darkblue",1.88868483607723,0,27
"66",0.628930818,0.048202102,0.057684556,"darkblue",1.53635833310831,0.128946203603121,87
"67",1,0.055879152,0.005162277,"darkblue",1.8199694919064,0.500059666119242,42
"68",0.84,0.08,0.629670091,"darkblue",1.25549739678771,0.340040572961085,57
"69",0.406994272,0.135185653,0.193314443,"darkblue",1.39425631638575,-0.0930168265817141,136
"70",0.810277532,0.15093737,0.373016616,"darkblue",1.31701978619273,0.310314558112445,105
"71",1,0.216990752,0.090964921,"darkblue",1.48283668426232,0.500059666119242,42
"72",0.4,0.288117085,0.016188581,"darkblue",1.68566983083063,-0.100011933223848,80
"73",0.931110713,0.292608905,0.2979273,"darkblue",1.34343176598975,0.431162158406417,105
"74",0.01459854,0.327422401,0.048965651,"darkblue",1.55561390799577,-0.485459384042785,71
"75",1,0.380592577,0.484816719,"darkblue",1.28621612179612,0.500059666119242,42
"76",0.129800853,0.44251409,0.022030603,"darkblue",1.64946347292941,-0.370243323692896,119
"77",0.4,0.475669367,0.088549267,"darkblue",1.4859993119683,-0.100011933223848,80
"78",0.84,0.48,0.657849414,"darkblue",1.25035302909206,0.340040572961085,57
"79",1,0.503085819,1.084476758,"darkblue",1.19161505928939,0.500059666119242,42
"80",0.333333333,0.516771684,0.011510043,"darkblue",1.72574911948654,-0.166686555706454,13
"81",0.5,0.529822124,0.16643183,"darkblue",1.41185059318632,0,49
"82",0.310398777,0.530384503,0.014901562,"darkblue",1.69540394432212,-0.18962384853836,104
"83",0.49,0.606135804,0.623303745,"darkblue",1.25669148903251,-0.0100011933223848,7
"84",0.85,0.625762551,0.040273343,"darkblue",1.57857780077385,0.350041766283469,63
"85",0.339590083,0.634058264,0.055712507,"darkblue",1.54044571849308,-0.160429059074471,15
"86",1,0.656132,0.057978613,"darkblue",1.53576085324161,0.500059666119242,42
"87",0.95,0.727134089,0.00518941,"darkblue",1.81935350201947,0.450053699507318,66
"88",0.331338272,0.740400065,0.0258647,"darkblue",1.63061021743404,-0.168681854781549,15
"89",0.99,0.790962058,0.002703027,"darkblue",1.89599579713921,0.490058472796857,3
"90",0.160539412,0.858786237,0.091475161,"darkblue",1.48217941809117,-0.339501096591843,65
"91",0.572139303,0.863492546,0.231355636,"darkblue",1.3731479774202,0.0721479115445097,17
"92",0.49,0.916290732,0.36578125,"darkblue",1.31932141170199,-0.0100011933223848,7
"93",0.296531738,0.93642564,0.012302404,"darkblue",1.71792626350942,-0.203492542323165,68
"94",0.97,1.041638258,0.021683753,"darkblue",1.65132818865265,0.470056086152087,66
"95",0.417240737,1.064071963,0.050434608,"darkblue",1.55214063363278,-0.0827691388481091,68
"96",0.773219116,1.099713434,0.07377262,"darkblue",1.50745234579217,0.273251719848709,59
"97",0.188235294,1.157672334,0.17145848,"darkblue",1.40835419524721,-0.311801909580247,99
"98",0.034267913,1.1801485,0.174185347,"darkblue",1.40650010842893,-0.465787663852476,113
