"","X","LRR","var.LRR","scale","col","Citation","Biome.type","pr.st"
"125",-20,-0.084,0.0877977,1.16005841699167,"darkgreen","Carter et al 2012","Temperate Shrubland",-0.103092783505155
"126",-28,-0.269,0.0099823,1.42858496946487,"darkgreen","Carter et al 2012","Mediterranean",-0.123711340206186
"127",-26,0.124,0.0005398,1.78889381347701,"darkgreen","Cleveland et al 2010","Tropical Forest",-0.118556701030928
"128",-55,0.219,0.0005925,1.7773890847735,"darkgreen","Cleveland et al 2010","Tropical Forest",-0.193298969072165
"129",-10,0.186,0.0021112,1.62045652283568,"darkgreen","Cotrufo et al 2011","Mediterranean",-0.077319587628866
"130",-40,0.166,0.0152818,1.37599062090995,"darkgreen","Davidson et al 2004","Tropical Forest",-0.154639175257732
"131",-35,0,0.0164185,1.36712963356196,"darkgreen","Davidson et al 2008","Tropical Forest",-0.141752577319588
"132",-29,-0.064,0.0039886,1.54188485164292,"darkgreen","de Dato et al 2010","Mediterranean",-0.126288659793814
"139",-48,-0.383,0.0190061,1.34905457228649,"darkgreen","Fay et al 2008","Temperate Grassland",-0.175257731958763
"140",-48,-0.21,0.0217308,1.33250857343064,"darkgreen","Fay et al 2008","Temperate Grassland",-0.175257731958763
"141",-48,-0.057,0.030556,1.29041441893824,"darkgreen","Fay et al 2008","Temperate Grassland",-0.175257731958763
"142",-48,-0.562,0.051515,1.2259064502918,"darkgreen","Fay et al 2008","Temperate Grassland",-0.175257731958763
"143",-24,-0.514,0.0222916,1.32936175870674,"darkgreen","Fay et al 2008","Temperate Grassland",-0.11340206185567
"144",-24,-0.052,0.018234,1.35417655777656,"darkgreen","Fay et al 2008","Temperate Grassland",-0.11340206185567
"145",-24,0.045,0.0275914,1.30301892753033,"darkgreen","Fay et al 2008","Temperate Grassland",-0.11340206185567
"146",-24,-0.004,0.0256405,1.31207564846109,"darkgreen","Fay et al 2008","Temperate Grassland",-0.11340206185567
"149",-42,0.077,0.006836,1.4753451679463,"darkgreen","Flanagan et al 2013","Temperate Grassland",-0.15979381443299
"150",-42,-0.098,0.0049611,1.51493771282078,"darkgreen","Flanagan et al 2013","Temperate Grassland",-0.15979381443299
"152",-88,-0.174,0.0148185,1.37979285775285,"darkgreen","Garten et al 2009","Temperate Grassland",-0.278350515463918
"153",-88,-0.585,0.0017798,1.6415456261849,"darkgreen","Garten et al 2009","Temperate Grassland",-0.278350515463918
"154",-88,-0.231,0.0132012,1.39406612814428,"darkgreen","Garten et al 2009","Temperate Grassland",-0.278350515463918
"155",-88,-0.331,0.004802,1.51896334675435,"darkgreen","Garten et al 2009","Temperate Grassland",-0.278350515463918
"156",-33,-0.182,0.0104564,1.4228542653343,"darkgreen","Hagedorn & Joos 2013","Temperate Grassland",-0.13659793814433
"157",-33,-0.266,0.0026881,1.59062049606813,"darkgreen","Hagedorn & Joos 2013","Temperate Grassland",-0.13659793814433
