"","X","LRR","var.LRR","scale","col","Study.name","pr.st"
"29",1.44,2.56854864149118,78.7273983509141,1.03413224734843,"darkgreen","Erickson_et_al.",1.37090325994836
"30",-0.28,-0.877881283759284,82.2484546677383,1.030385566411,"darkgreen","Erickson_et_al.",-0.515192567924246
"31",-0.28,-2.33939906611676,87.8647708303092,1.02472921300363,"darkgreen","Erickson_et_al.",-0.515192567924246
"32",-0.66,-3.03254624667671,110.833520830309,1.00484290622295,"darkgreen","Erickson_et_al.",-0.931888157803077
"33",0.5,0.287682072451781,7.05295138888889,1.24072288598624,"darkgreen","Erickson_et_al.",0.340129958669143
"34",0.64,3.24519313318557,2.27943219298739,1.33744572799734,"darkgreen","Erickson_et_al.",0.493649386519239
"44",1.34,0.904456274227152,0.0835675773577405,1.62054677362112,"darkgreen","Galbally_et_al.",1.26124652576972
"45",0.04,-0.0953101798043249,0.099035302520151,1.60600471159689,"darkgreen","Garcia-Mendez_et_al.",-0.164291018552599
"46",0.04,-0.360002734031407,0.10323902142633,1.60244495220143,"darkgreen","Garcia-Mendez_et_al.",-0.164291018552599
"49",0.02,-0.320907720080101,0.125687631582454,1.58559664915463,"darkgreen","Inubushi_et_al.",-0.186222365388327
"50",0.29,0.768654733068091,0.0282945494227868,1.71328487870342,"darkgreen","Inubushi_et_al.",0.109850816894
"51",-0.17,-0.773189888233482,0.0658192709474761,1.64099076807408,"darkgreen","Ishizuka_et_al.",-0.394570160327742
"52",1.43,0.613104472886409,0.0860739005771057,1.61801629990075,"darkgreen","Ishizuka_et_al.",1.35993758653049
"53",0.1,1.46040233327361,0.0819481762132861,1.62222246549597,"darkgreen","Ishizuka_et_al.",-0.0984969780454153
"54",0.85,2.38381053291663,0.0804228287832657,1.62383139965182,"darkgreen","Ishizuka_et_al.",0.723928528294382
"55",-0.88,-0.455475528682826,0.0641758859558312,1.6431559803501,"darkgreen","Ishizuka_et_al.",-1.17313297299608
"56",-0.77,0.491120552686658,0.0452848286411792,1.67301198430031,"darkgreen","Ishizuka_et_al.",-1.05251056539958
"57",-0.54,0.198450938723838,0.0397062494385024,1.68426944176139,"darkgreen","Ishizuka_et_al.",-0.800300076788709
"58",-0.75,-1.92181259747625,0.0368313288035817,1.6907055111766,"darkgreen","Ishizuka_et_al.",-1.03057921856385
"64",-1.37,-1.9189724933235,0.00152223887389522,1.96354277550309,"darkgreen","Keller_and_Reiners",-1.71045097047142
"65",-1.88,-1.32989467265777,0.00257234034337362,1.91861741427697,"darkgreen","Keller_and_Reiners",-2.26970031478248
"66",-0.23,-0.449063992162481,0.000994453766490719,2,"darkgreen","Keller_and_Reiners",-0.460364200834926
"70",2.89,2.67844973132592,1.23678776033635,1.38980178591333,"darkgreen","Livesley_et_al.",2.96092590553863
"71",-0.35,-0.287682072451781,4.98316948454641,1.27046967258043,"darkgreen","Livesley_et_al.",-0.591952281849294
"72",-0.35,-0.0645385211375712,1.08396564952096,1.40109587776259,"darkgreen","Livesley_et_al.",-0.591952281849294
"75",-0.04,0.936093359170335,0.462696215741198,1.4739951737514,"darkgreen","Meixner_et_al.",-0.252016405895511
"76",0.22,1.48160454092422,0.633678013905287,1.44706651264325,"darkgreen","Meixner_et_al.",0.0330911029689523
