"","X","LRR","var.LRR","col","scale","Study","Sys1","pr.st"
"540",0.5,-0.144102711,0.154928027,"darkgreen",1.00138439761688,52,"T",-0.922348330215237
"541",0.75,-0.029300847,0.097806306,"darkgreen",1.00244210812111,52,"T",0.24345854614677
"542",0.5,-0.679692626,0.059796398,"darkgreen",1.00426565662101,52,"T",-0.922348330215237
"543",0.75,-0.479986642,0.070743674,"darkgreen",1.00353954094386,52,"T",0.24345854614677
"544",0.875,-0.425553736,0.06620411,"darkgreen",1.00381150027316,52,"T",0.826361984327774
"545",0.9375,-0.495746029,0.076194462,"darkgreen",1.0032558074186,52,"T",1.11781370341828
"546",0.25,-0.192391439,0.061571714,"darkgreen",1.00413036161061,52,"T",-2.08815520657724
"547",0.96875,-0.052754149,0.050842983,"darkgreen",1.00509197050225,52,"T",1.26353956296353
"548",0.5,-0.137085887,0.008145805,"darkgreen",1.03401851254363,53,"T",-0.922348330215237
"549",0.875,-0.387562827,0.023655099,"darkgreen",1.01143478478907,53,"T",0.826361984327774
"550",0.75,-0.245251597,0.011947973,"darkgreen",1.02305712731519,53,"T",0.24345854614677
"551",0.9375,-0.599274902,0.01718382,"darkgreen",1.01590170319813,53,"T",1.11781370341828
"588",0.9375,-0.684922142,0.044685065,"darkgreen",1.0058524768877,59,"T",1.11781370341828
"589",0.75,-0.069743814,0.027445711,"darkgreen",1.00979656390636,59,"T",0.24345854614677
"590",0.4375,0.029020133,0.035175502,"darkgreen",1.00755001777004,59,"T",-1.21380004930574
"591",0.9375,-0.418913411,0.025099525,"darkgreen",1.01075218302699,59,"T",1.11781370341828
"592",0.75,0.050623753,0.020827421,"darkgreen",1.01304517850658,59,"T",0.24345854614677
"593",0.4375,0.044987675,0.013698311,"darkgreen",1.02005642407371,59,"T",-1.21380004930574
"594",0.75,-0.258026542,0.023780207,"darkgreen",1.01137238156025,59,"T",0.24345854614677
"595",0.9375,-0.70591854,0.033346269,"darkgreen",1.00798758405809,59,"T",1.11781370341828
"596",0.4375,-0.042068907,0.021250248,"darkgreen",1.01277712246896,59,"T",-1.21380004930574
"597",0.75,-0.039404125,0.008855287,"darkgreen",1.0312587792599,59,"T",0.24345854614677
"598",0.4375,-0.054544464,0.009243053,"darkgreen",1.02992950675231,59,"T",-1.21380004930574
"599",0.9375,-0.230186213,0.014881843,"darkgreen",1.01842743322442,59,"T",1.11781370341828
"600",0.9375,-1.108074326,0.063645039,"darkgreen",1.00398191032448,59,"T",1.11781370341828
"601",0.75,-0.65912244,0.065283222,"darkgreen",1.00387128395557,59,"T",0.24345854614677
"602",0.4375,-0.325599606,0.106332301,"darkgreen",1.00221208293775,59,"T",-1.21380004930574
"603",0.4375,-0.376499699,0.041212783,"darkgreen",1.00638151021635,59,"T",-1.21380004930574
"604",0.75,0.013062526,0.121107516,"darkgreen",1.00189015410039,59,"T",0.24345854614677
"605",0.9375,-0.472960095,0.04414426,"darkgreen",1.00592940169972,59,"T",1.11781370341828
"606",0.9375,-1.266356506,0.037492962,"darkgreen",1.00705697502632,59,"T",1.11781370341828
"607",0.4375,-0.257609064,0.050075853,"darkgreen",1.00517651239534,59,"T",-1.21380004930574
"608",0.75,-0.834461664,0.057502252,"darkgreen",1.00445286425567,59,"T",0.24345854614677
"609",0.9375,-0.963419162,0.025644273,"darkgreen",1.01051471664761,59,"T",1.11781370341828
"610",0.4375,-0.370110985,0.020102169,"darkgreen",1.01353121950011,59,"T",-1.21380004930574
"611",0.75,-0.673503386,0.039475495,"darkgreen",1.00668113288887,59,"T",0.24345854614677
"658",0.4375,-0.084312416,0.004542963,"darkgreen",1.061335599693,59,"T",-1.21380004930574
"659",0.75,-0.146219793,0.014068129,"darkgreen",1.01951797198987,59,"T",0.24345854614677
"660",0.9375,-0.776594624,0.026838075,"darkgreen",1.01002802608066,59,"T",1.11781370341828
"661",0.9375,-0.587437886,0.020915208,"darkgreen",1.01298863341594,59,"T",1.11781370341828
"662",0.4375,0.027169477,0.016709618,"darkgreen",1.01636508558836,59,"T",-1.21380004930574
"663",0.75,-0.002143736,0.012795288,"darkgreen",1.0215020106438,59,"T",0.24345854614677
"664",0.4375,0.066744363,0.013544058,"darkgreen",1.02028970550582,59,"T",-1.21380004930574
"665",0.9375,-0.638267752,0.020280992,"darkgreen",1.01340814909124,59,"T",1.11781370341828
"666",0.75,-0.002814091,0.023596962,"darkgreen",1.01146400841733,59,"T",0.24345854614677
"667",0.9375,-0.173067453,0.034031561,"darkgreen",1.00781814679687,59,"T",1.11781370341828
"668",0.75,-0.004261697,0.040254596,"darkgreen",1.006543566263,59,"T",0.24345854614677
"669",0.4375,-0.201880926,0.020697892,"darkgreen",1.01312948631127,59,"T",-1.21380004930574
"670",0.9375,-0.798347084,0.049762371,"darkgreen",1.00521181002716,59,"T",1.11781370341828
"671",0.75,-0.340483649,0.052747694,"darkgreen",1.00489269359735,59,"T",0.24345854614677
"672",0.4375,-0.048866027,0.041047365,"darkgreen",1.00640894666656,59,"T",-1.21380004930574
"673",0.9375,-0.03022253,0.02167846,"darkgreen",1.01251630973971,59,"T",1.11781370341828
"674",0.4375,0.026571599,0.012603902,"darkgreen",1.02183499011778,59,"T",-1.21380004930574
"675",0.75,-0.123265975,0.028780574,"darkgreen",1.00932240366138,59,"T",0.24345854614677
"676",0.75,-0.569569805,0.055752921,"darkgreen",1.00460596661858,59,"T",0.24345854614677
