"","X","LRR","var.LRR","scale","col","ref","pr.st"
"238",0.8,0.147,0.1197,1.62346443535962,"darkgreen","Day et al. 2009",-1.40627659676141
"239",0.8,0.4787,0.0642,1.66628487079853,"darkgreen","Day et al. 2009",-1.40627659676141
"240",0.8,-0.0071,0.0763,1.65441654627513,"darkgreen","Day et al. 2009",-1.40627659676141
"241",0.8,-0.9163,0.5703,1.51615831375618,"darkgreen","Day et al. 2009",-1.40627659676141
"242",0.8,0,0.082,1.64946449713758,"darkgreen","Day et al. 2009",-1.40627659676141
"243",0.8,0.3083,0.055,1.67691599926452,"darkgreen","Day et al. 2009",-1.40627659676141
"265",1,-1.9042,0.6187,1.51055936152708,"darkgreen","De Dato et al. 2008",-1.26908126166091
"266",1,0.4507,0.2082,1.58541930231695,"darkgreen","De Dato et al. 2008",-1.26908126166091
"267",1,0.4055,0.8919,1.4854209419613,"darkgreen","De Dato et al. 2008",-1.26908126166091
"268",1,0.6592,0.561,1.51728841707297,"darkgreen","De Dato et al. 2008",-1.26908126166091
"269",1,-0.2314,0.6012,1.51253154273479,"darkgreen","De Dato et al. 2008",-1.26908126166091
"270",1,0.0369,0.1573,1.60468856117527,"darkgreen","De Dato et al. 2008",-1.26908126166091
"319",1,-0.1886,0.0209,1.74342216329988,"darkgreen","Dukes et al. 2005",-1.26908126166091
"320",1,-0.0392,0.0315,1.71522473474623,"darkgreen","Dukes et al. 2005",-1.26908126166091
"321",1,-0.1195,0.0094,1.79834354335569,"darkgreen","Dukes et al. 2005",-1.26908126166091
"322",1,0.0157,0.0475,1.68699267936478,"darkgreen","Dukes et al. 2005",-1.26908126166091
"323",1,0.2458,0.0629,1.66769097061606,"darkgreen","Dukes et al. 2005",-1.26908126166091
"334",1,-0.1683,0.136,1.6146893896014,"darkgreen","Dukes et al. 2005",-1.26908126166091
"335",1,-0.1823,0.0265,1.72710495615444,"darkgreen","Dukes et al. 2005",-1.26908126166091
"336",1,0.1054,0.0536,1.67868825126385,"darkgreen","Dukes et al. 2005",-1.26908126166091
"337",1,0.1103,0.078,1.6529019259747,"darkgreen","Dukes et al. 2005",-1.26908126166091
"338",1,0.1961,0.0453,1.69025224169027,"darkgreen","Dukes et al. 2005",-1.26908126166091
"349",1,-0.1733,0.0391,1.70036886266662,"darkgreen","Dukes et al. 2005",-1.26908126166091
"350",1,0.016,0.0203,1.74542427334356,"darkgreen","Dukes et al. 2005",-1.26908126166091
"351",1,-0.0645,0.0842,1.64764471149712,"darkgreen","Dukes et al. 2005",-1.26908126166091
"352",1,0.1206,0.0547,1.67729193959133,"darkgreen","Dukes et al. 2005",-1.26908126166091
"353",1,0.0217,0.0558,1.67592342964461,"darkgreen","Dukes et al. 2005",-1.26908126166091
"364",1,-0.0247,0.0424,1.69479960838573,"darkgreen","Dukes et al. 2005",-1.26908126166091
"365",1,-0.1313,0.1296,1.61800252500188,"darkgreen","Dukes et al. 2005",-1.26908126166091
"366",1,0.2605,0.0575,1.67386064062594,"darkgreen","Dukes et al. 2005",-1.26908126166091
"367",1,-0.1335,0.0293,1.72020109662068,"darkgreen","Dukes et al. 2005",-1.26908126166091
"368",1,-0.2252,0.0247,1.73193982579136,"darkgreen","Dukes et al. 2005",-1.26908126166091
"379",1,-0.1476,0.0351,1.70778675497848,"darkgreen","Dukes et al. 2005",-1.26908126166091
"380",1,0.058,0.0307,1.71699291589646,"darkgreen","Dukes et al. 2005",-1.26908126166091
"381",1,0.1942,0.0758,1.65486844962375,"darkgreen","Dukes et al. 2005",-1.26908126166091
"382",1,0.1245,0.0237,1.7347804883841,"darkgreen","Dukes et al. 2005",-1.26908126166091
"383",1,-0.113,0.0282,1.72283124974775,"darkgreen","Dukes et al. 2005",-1.26908126166091
"394",1,0.1398,0.0232,1.73624609298845,"darkgreen","Dukes et al. 2005",-1.26908126166091
"395",1,-0.3584,0.0283,1.72258794240791,"darkgreen","Dukes et al. 2005",-1.26908126166091
"396",1,0.1584,0.051,1.68210595438647,"darkgreen","Dukes et al. 2005",-1.26908126166091
"397",1,0.1738,0.045,1.69070894936216,"darkgreen","Dukes et al. 2005",-1.26908126166091
"398",1,0.1011,0.0548,1.67716639754412,"darkgreen","Dukes et al. 2005",-1.26908126166091
"409",1,0.0458,0.0175,1.7556258113378,"darkgreen","Dukes et al. 2005",-1.26908126166091
"410",1,0.3254,0.0878,1.64476704348987,"darkgreen","Dukes et al. 2005",-1.26908126166091
"411",1,0.3642,0.0131,1.77553047055601,"darkgreen","Dukes et al. 2005",-1.26908126166091
"412",1,-0.2162,0.0302,1.71812158250053,"darkgreen","Dukes et al. 2005",-1.26908126166091
"413",1,-0.0339,0.029,1.72090848795949,"darkgreen","Dukes et al. 2005",-1.26908126166091
"424",1,0.4574,0.0258,1.72894498864276,"darkgreen","Dukes et al. 2005",-1.26908126166091
"425",1,-0.171,0.0177,1.75484473189008,"darkgreen","Dukes et al. 2005",-1.26908126166091
"426",1,0.1193,0.0286,1.72186314569111,"darkgreen","Dukes et al. 2005",-1.26908126166091
"427",1,0.1854,0.0073,1.81572199133972,"darkgreen","Dukes et al. 2005",-1.26908126166091
"428",1,0.0883,0.0314,1.71544328581028,"darkgreen","Dukes et al. 2005",-1.26908126166091
"544",5,-1.2408,0.1497,1.60809238570366,"darkgreen","Gough & Hobbie 2003",1.47482544034899
"552",5,0.7342,0.1224,1.6219312658075,"darkgreen","Gough & Hobbie 2003",1.47482544034899
"560",5,-1.825,0.2713,1.56722355442875,"darkgreen","Gough & Hobbie 2003",1.47482544034899
"565",5,-0.7286,0.3095,1.55816899401139,"darkgreen","Gough & Hobbie 2003",1.47482544034899
"570",5,-0.2039,0.1042,1.63299625966861,"darkgreen","Gough & Hobbie 2003",1.47482544034899
"577",5,-1.5391,0.1884,1.59228803940468,"darkgreen","Gough & Hobbie 2003",1.47482544034899
"578",5,-1.6698,0.1721,1.59850791586908,"darkgreen","Gough & Hobbie 2003",1.47482544034899
"583",5,-0.0632,0.033,1.71202721628089,"darkgreen","Gough & Hobbie 2003",1.47482544034899
"590",5,-0.1789,0.041,1.69710744993525,"darkgreen","Gough & Hobbie 2003",1.47482544034899
"591",5,-1.5907,0.0411,1.69694000953153,"darkgreen","Gough & Hobbie 2003",1.47482544034899
"596",3,0.1133,0.1442,1.61066525079055,"darkgreen","Grime et al. 2008",0.102872089344037
"597",3,-0.0035,0.1301,1.61773785678216,"darkgreen","Grime et al. 2008",0.102872089344037
"598",3,-0.0976,0.0386,1.70125348558173,"darkgreen","Grime et al. 2008",0.102872089344037
"599",3,-0.0479,0.0345,1.7089718576423,"darkgreen","Grogan & Chapin 2000",0.102872089344037
"600",3,-1.6642,0.1946,1.59006250629157,"darkgreen","Grogan & Chapin 2000",0.102872089344037
"601",3,-0.0235,0.1357,1.61484117674825,"darkgreen","Grogan & Chapin 2000",0.102872089344037
"602",3,0.445,0.044,1.69225360429348,"darkgreen","Grogan & Chapin 2000",0.102872089344037
"603",3,0.4778,0.1235,1.62131631516706,"darkgreen","Grogan & Chapin 2000",0.102872089344037
"604",3,0.4869,0.056,1.67567751077142,"darkgreen","Grogan & Chapin 2000",0.102872089344037
"611",0.8,0,0.0066,1.82265072690519,"darkgreen","Gugerli & Bauert 2001",-1.40627659676141
"612",1,0,0.007,1.81860636916443,"darkgreen","Gugerli & Bauert 2001",-1.26908126166091
"613",1.3,0.1054,0.0035,1.8662493219621,"darkgreen","Gugerli & Bauert 2001",-1.06328825901017
"637",4.4,0.6357,0.0759,1.6547778309531,"darkgreen","Hobbie & Chapin 1998",1.0632394350475
"638",4.4,-0.3075,0.5351,1.52053729683473,"darkgreen","Hobbie & Chapin 1998",1.0632394350475
"639",4.4,-0.9676,0.874,1.48681443564398,"darkgreen","Hobbie & Chapin 1998",1.0632394350475
"640",4.4,-0.3301,0.0394,1.69984350277088,"darkgreen","Hobbie & Chapin 1998",1.0632394350475
"645",4.4,-0.8755,1.6502,1.44312891131505,"darkgreen","Hobbie & Chapin 1998",1.0632394350475
