"","X","LRR","var.LRR","scale","col","ID.study","ID.case","system","pr.st"
"471",0.852332333405401,0.80437281567017,0.00581453285473496,1.51731930395548,"darkblue","HLH592",471,"freshwater",0.869110019232382
"472",0.852332333405401,0.913878185468771,0.00430970884176007,1.53462376040931,"darkblue","HLH592",472,"freshwater",0.869110019232382
"473",0.852332333405401,-0.157003748809665,0.0065604444333994,1.51034541207729,"darkblue","HLH592",473,"freshwater",0.869110019232382
"516",-1.03353577680886,0.424501010127962,0.0358970623193234,1.41214315370257,"darkblue","HLH629",516,"freshwater",-1.06168822552924
"517",-1.03353577680886,-0.0407753127069854,0.0242526438109853,1.43480030838645,"darkblue","HLH629",517,"freshwater",-1.06168822552924
"518",-1.03353577680886,0.184352653476138,0.0498474809805165,1.39317334682271,"darkblue","HLH629",518,"freshwater",-1.06168822552924
"519",-1.03353577680886,-0.442530886394392,0.0537218775056401,1.38884839797509,"darkblue","HLH629",519,"freshwater",-1.06168822552924
"520",-1.03353577680886,0.0219947787738442,0.0371713579359797,1.41012762033216,"darkblue","HLH629",520,"freshwater",-1.06168822552924
"521",-1.03353577680886,-0.0593924262855851,0.0808017050860825,1.36526399890482,"darkblue","HLH629",521,"freshwater",-1.06168822552924
"522",-1.03353577680886,0.589018590353194,0.0239158192400182,1.43560838686654,"darkblue","HLH629",522,"freshwater",-1.06168822552924
"523",-1.03353577680886,-0.196539753878453,0.14396424279339,1.33189234145197,"darkblue","HLH629",523,"freshwater",-1.06168822552924
"524",-1.03353577680886,0.724860920154705,0.0255107078527831,1.43187823471542,"darkblue","HLH630",524,"freshwater",-1.06168822552924
"525",-1.03353577680886,0.365135493494724,0.109216883920885,1.34785279453906,"darkblue","HLH630",525,"freshwater",-1.06168822552924
